corruption_type,mean,lower,upper,percentile,category
brightness_1,0.012015850270297721,0.010488095662175114,0.013388952174460574,24.210526315789473,Lowest
brightness_2,0.025026326411393178,0.021717885886800715,0.02790264026909872,45.26315789473684,Mid-Range
brightness_3,0.038306167758206285,0.033268513904216195,0.042693141761565245,76.84210526315789,Highest
brightness_4,0.05146825437522899,0.04464864031698866,0.05733769081038396,83.15789473684211,Highest
brightness_5,0.07658830502721821,0.06619649831292523,0.08545699001693674,94.73684210526315,Highest
contrast_1,0.03731239830606657,0.03229884354584131,0.04203896833178967,71.57894736842105,Highest
contrast_2,0.06467793876182189,0.05585004108341288,0.07295752560160923,89.47368421052632,Highest
contrast_3,0.0736615810439367,0.06358168219328629,0.08310925557689099,92.63157894736842,Highest
contrast_4,0.0814915177715747,0.07031157530134845,0.09202967538093194,96.84210526315789,Highest
contrast_5,0.09061788958522692,0.07810387809514718,0.1023992370177739,100.0,Highest
defocus_blur_1,0.007041266644107534,0.005866201298254289,0.008018856052611082,16.842105263157894,Lowest
defocus_blur_2,0.017124211361968313,0.014271423370585937,0.019536385826617073,32.631578947368425,Lowest
defocus_blur_3,0.024862458902927556,0.020675935788219926,0.02844344106229252,44.21052631578947,Mid-Range
defocus_blur_4,0.02977637252216765,0.02473750211419119,0.03410366038156589,55.78947368421052,Mid-Range
defocus_blur_5,0.03789081291728801,0.03158580414147575,0.04325915401980775,72.63157894736842,Highest
elastic_1,0.014693675116264638,0.01230645038939999,0.01674107702543018,27.368421052631582,Lowest
elastic_2,0.01766883509400973,0.014779878187340542,0.020121349326806672,34.73684210526316,Mid-Range
elastic_3,0.023222157666836437,0.019387998598172442,0.026539294360851562,40.0,Mid-Range
elastic_4,0.023976338462901155,0.020039014426859278,0.0273808766588664,41.05263157894737,Mid-Range
elastic_5,0.021274518844779967,0.017941447998599723,0.02421867360970313,37.89473684210527,Mid-Range
fog_1,0.03535186946991845,0.03045424226958916,0.03973992671082637,67.36842105263158,Highest
fog_2,0.060228915396494914,0.05184050517051178,0.06779351598445793,88.42105263157895,Highest
fog_3,0.0712560140034474,0.06131306167485892,0.08021810440299265,91.57894736842105,Highest
fog_4,0.0773152398777809,0.06647004566487044,0.08705483094285406,95.78947368421052,Highest
fog_5,0.08377619837812833,0.07192286041908826,0.09431317745417458,98.94736842105263,Highest
frost_1,0.033561139882368037,0.029778144439975947,0.037068417646828146,63.1578947368421,Mid-Range
frost_2,0.052237485690439185,0.046021455073998914,0.058025584046018666,84.21052631578947,Highest
frost_3,0.056013903051932344,0.0496704415178691,0.06205256691343543,85.26315789473684,Highest
frost_4,0.0498226606287226,0.04439319664171097,0.055130355165223424,81.05263157894737,Highest
frost_5,0.04905495546893754,0.04368592766959643,0.05400438903354031,80.0,Highest
frosted_glass_blur_1,0.00758669102415609,0.005779648299708512,0.009248931660524231,18.947368421052634,Lowest
frosted_glass_blur_2,0.005681193076227311,0.004403909291033095,0.006880934945660565,11.578947368421053,Lowest
frosted_glass_blur_3,0.009079916794876141,0.00792876461261708,0.010184787671260007,21.052631578947366,Lowest
frosted_glass_blur_4,0.010659848822235609,0.00830146980188604,0.012795399792149722,23.157894736842106,Lowest
frosted_glass_blur_5,0.007451976616079181,0.00652337933011987,0.008362565147760381,17.894736842105264,Lowest
gaussian_blur_1,0.006825614137343765,0.005687285105670591,0.007773455793425287,15.789473684210526,Lowest
gaussian_blur_2,0.0245925517117784,0.0204500527899884,0.028135403385412996,43.15789473684211,Mid-Range
gaussian_blur_3,0.030345994778192505,0.025221904138417878,0.03472694059512017,56.84210526315789,Mid-Range
gaussian_blur_4,0.03484576281048683,0.028967126812089523,0.03979732663494957,66.3157894736842,Highest
gaussian_blur_5,0.04190387433431177,0.03487755559810053,0.04791360546355398,78.94736842105263,Highest
gaussian_noise_1,0.008542532995500242,0.006689864451556035,0.01014319119489112,20.0,Lowest
gaussian_noise_2,0.017041647783097892,0.013400014656036881,0.02021553029179272,31.57894736842105,Lowest
gaussian_noise_3,0.02729439599794951,0.021573378601505797,0.03223810360157168,52.63157894736842,Mid-Range
gaussian_noise_4,0.03294403399691993,0.026089187203739143,0.03886698634841939,62.10526315789474,Mid-Range
gaussian_noise_5,0.03881607110466126,0.03083660037409035,0.045760053891347505,77.89473684210526,Highest
impulse_noise_1,0.013594255216816743,0.010873627054438223,0.015923384354860144,26.31578947368421,Lowest
impulse_noise_2,0.025945287677052994,0.020795919968644463,0.03035416433174245,47.368421052631575,Mid-Range
impulse_noise_3,0.037156047504922074,0.029856946727279465,0.04340198972167339,70.52631578947368,Highest
impulse_noise_4,0.057297603565392166,0.046195251871229887,0.06687774917083654,87.36842105263159,Highest
impulse_noise_5,0.0751395039362111,0.060644184772201376,0.08768728693471486,93.6842105263158,Highest
jpeg_compression_1,0.0015421365008506961,0.0013409953029664167,0.0017359793503764459,1.0526315789473684,Lowest
jpeg_compression_2,0.0020276599735946704,0.0017834804593608953,0.002286240829866936,3.1578947368421053,Lowest
jpeg_compression_3,0.002582270207049029,0.0022283545517793207,0.002958407418978456,4.2105263157894735,Lowest
jpeg_compression_4,0.0033538912485091064,0.002860245801278088,0.0038727503481640673,6.315789473684211,Lowest
jpeg_compression_5,0.00436179639880599,0.003666176932352638,0.0050502831169912665,8.421052631578947,Lowest
motion_blur_1,0.01818609459325421,0.015170215816360669,0.020832838494338965,35.78947368421053,Mid-Range
motion_blur_2,0.025844081219421448,0.02158680850635967,0.029582471984820117,46.31578947368421,Mid-Range
motion_blur_3,0.03167895026841106,0.026481426461140163,0.036222154684162886,58.94736842105262,Mid-Range
motion_blur_4,0.03178004081603754,0.02656568683902576,0.03634114393142941,60.0,Mid-Range
motion_blur_5,0.03626972954625583,0.030396337871509138,0.041493472756116354,68.42105263157895,Highest
pixelate_1,0.0018538716080230453,0.001556954419459191,0.002124324229186829,2.1052631578947367,Lowest
pixelate_2,0.0033166463039436696,0.00279187057055574,0.0038012190910841235,5.263157894736842,Lowest
pixelate_3,0.0034901453790164333,0.0030203610852298553,0.003964078968028996,7.368421052631578,Lowest
pixelate_4,0.005212330214882767,0.00470256287958471,0.005645469184531445,9.473684210526317,Lowest
pixelate_5,0.0063126999586018825,0.005586845347299346,0.007039843972952327,14.736842105263156,Lowest
saturate_1,0.027189601481635267,0.02350584274513218,0.030850974679375073,50.526315789473685,Mid-Range
saturate_2,0.031978630199069914,0.027916599976524858,0.03607070216900815,61.05263157894737,Mid-Range
saturate_3,0.025966529372770542,0.02199408041999575,0.029988400516253903,48.421052631578945,Mid-Range
saturate_4,0.05664607445486841,0.047890727176943225,0.06543284119829919,86.31578947368422,Highest
saturate_5,0.08151065211295201,0.06898788834767212,0.09409588138527504,97.89473684210527,Highest
shot_noise_1,0.005516300684550836,0.004321181981192735,0.0065312521371320605,10.526315789473683,Lowest
shot_noise_2,0.009760032975616027,0.007656496014522124,0.01156194608434785,22.105263157894736,Lowest
shot_noise_3,0.02103042883796618,0.0166047981274739,0.024827323289769193,36.84210526315789,Mid-Range
shot_noise_4,0.026482927450677537,0.020941038440952055,0.031224826942167765,49.473684210526315,Mid-Range
shot_noise_5,0.03640930039745423,0.028864392265320067,0.04288892854807609,69.47368421052632,Highest
snow_1,0.015642063172227924,0.013433526266547065,0.01757767004859962,29.47368421052631,Lowest
snow_2,0.034576258613846146,0.02965820600989986,0.03895307603253095,65.26315789473685,Mid-Range
snow_3,0.03816666498478143,0.032811146788872286,0.042914907262348326,74.73684210526315,Highest
snow_4,0.051331112048199685,0.044291687218141695,0.05744617771631345,82.10526315789474,Highest
snow_5,0.06891273670992057,0.059810679087654625,0.07695364807866881,90.52631578947368,Highest
spatter_1,0.0061690617020002175,0.005132899989814918,0.007046777048212921,13.684210526315791,Lowest
spatter_2,0.015021389107792656,0.01244818470118384,0.01714258976985708,28.421052631578945,Lowest
spatter_3,0.024455047896388013,0.020315558837572145,0.027943718319763423,42.10526315789473,Mid-Range
spatter_4,0.016190812201971147,0.0132839842153217,0.018717706132764505,30.526315789473685,Lowest
spatter_5,0.027982348464048824,0.0228059902328604,0.03243795953253784,54.736842105263165,Mid-Range
speckle_noise_1,0.005769480835597422,0.004506432758596577,0.006845521106861788,12.631578947368421,Lowest
speckle_noise_2,0.013106364510856604,0.010251819256650842,0.015541657215915845,25.263157894736842,Lowest
speckle_noise_3,0.01748099281974571,0.01370932949687029,0.02068985425141122,33.68421052631579,Mid-Range
speckle_noise_4,0.02729768002337756,0.021500517243318817,0.03224978384635286,53.68421052631579,Mid-Range
speckle_noise_5,0.038153347508549235,0.030217105793861717,0.044999530402395675,73.68421052631578,Highest
zoom_blur_1,0.022779717000033856,0.018984988429252645,0.02599763077940901,38.94736842105263,Mid-Range
zoom_blur_2,0.027215083843534296,0.02272519174251153,0.031013777988852305,51.578947368421055,Mid-Range
zoom_blur_3,0.03096764488052226,0.02589120135664473,0.03526407987125199,57.89473684210527,Mid-Range
zoom_blur_4,0.03425640221585908,0.028673428184317205,0.03897431683758071,64.21052631578948,Mid-Range
zoom_blur_5,0.03823297910729505,0.03204334845427518,0.04344639676356346,75.78947368421053,Highest
