corruption_type,mean,lower,upper,percentile,category,cat_avg_mean,cat_avg_lower,cat_avg_upper
brightness_1,0.012011601890113681,0.010544211312709058,0.013400424107568676,24.210526315789473,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
brightness_2,0.025061433005528683,0.021932183373174364,0.027944493045383472,45.26315789473684,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
brightness_3,0.03822889256167986,0.03315615058268474,0.042619228140225035,75.78947368421053,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
brightness_4,0.05135240244334268,0.04432399555489796,0.05702235563362171,82.10526315789474,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
brightness_5,0.07663711194760894,0.06664329759212338,0.08554592695558315,94.73684210526315,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
contrast_1,0.037251297879796114,0.03210316970425675,0.04205558468579548,71.57894736842105,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
contrast_2,0.06454018372011246,0.05589842296840766,0.07291828991112227,89.47368421052632,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
contrast_3,0.07335292163170137,0.06343179981930504,0.08274674750705298,92.63157894736842,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
contrast_4,0.08149143769877913,0.07006390636425419,0.09133655950571516,97.89473684210527,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
contrast_5,0.09028698995913612,0.07866856631664566,0.10119154591161746,100.0,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
defocus_blur_1,0.007045350468652344,0.005895977721918671,0.008018432916593552,16.842105263157894,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
defocus_blur_2,0.017072160205300082,0.014404104297177596,0.019612329800045646,31.57894736842105,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
defocus_blur_3,0.02471537308791976,0.02070869715368311,0.0281620132855256,44.21052631578947,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
defocus_blur_4,0.029630259115701416,0.024605021399369882,0.03410893148794696,55.78947368421052,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
defocus_blur_5,0.0380367219589306,0.031665532552577015,0.04330711059618253,72.63157894736842,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
elastic_1,0.0146486489306267,0.01221550267022774,0.016687327155337432,27.368421052631582,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
elastic_2,0.017621771448842662,0.014771712976069626,0.02018600869989989,34.73684210526316,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
elastic_3,0.023206875615741696,0.01951999016887252,0.026471239559237678,40.0,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
elastic_4,0.024002958273357775,0.02036359615570461,0.02746738542771097,41.05263157894737,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
