Approach,Model,Corruption Type,Date,Fscore
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 00:41:00.783766,0.791761277983241
Baseline,ResNet50,gaussian_blur_3,2024-04-12 00:41:03.132436,0.7551875422325249
Baseline,ResNet50,gaussian_noise_3,2024-04-12 00:41:05.473425,0.8092545494965945
Baseline,ResNet50,impulse_noise_3,2024-04-12 00:41:07.825210,0.7646068811472191
Baseline,ResNet50,jpeg_compression_3,2024-04-12 00:41:10.160900,0.8973211268978272
Baseline,ResNet50,motion_blur_3,2024-04-12 00:41:12.529001,0.6181686449146255
Baseline,ResNet50,pixelate_3,2024-04-12 00:41:14.880067,0.9141209181314108
Baseline,ResNet50,saturate_3,2024-04-12 00:41:17.215869,0.9315202387117072
Baseline,ResNet50,shot_noise_3,2024-04-12 00:41:19.556286,0.8623557693875125
Baseline,ResNet50,snow_3,2024-04-12 00:41:21.913735,0.7938591417012868
Baseline,ResNet50,spatter_3,2024-04-12 00:41:24.248194,0.790180895126261
Baseline,ResNet50,speckle_noise_3,2024-04-12 00:41:26.599087,0.8884081922538476
Baseline,ResNet50,zoom_blur_3,2024-04-12 00:41:28.951032,0.7337567264340794
Baseline,ResNet50,brightness_3,2024-04-12 00:51:24.615593,0.9403380944261096
Baseline,ResNet50,contrast_3,2024-04-12 00:51:26.973367,0.5449567649754475
Baseline,ResNet50,defocus_blur_3,2024-04-12 00:51:29.304464,0.8669918779267667
Baseline,ResNet50,elastic_3,2024-04-12 00:51:31.678445,0.7789818364660956
Baseline,ResNet50,fog_3,2024-04-12 00:51:34.021385,0.7609884990190392
Baseline,ResNet50,frost_3,2024-04-12 00:51:36.378143,0.7831642597062369
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 00:51:38.731834,0.7886184938394811
Baseline,ResNet50,gaussian_blur_3,2024-04-12 00:51:41.076011,0.776872410107473
Baseline,ResNet50,gaussian_noise_3,2024-04-12 00:51:43.435751,0.8241864979073764
Baseline,ResNet50,impulse_noise_3,2024-04-12 00:51:45.776530,0.7624594447520426
Baseline,ResNet50,jpeg_compression_3,2024-04-12 00:51:48.112712,0.9217749288786768
Baseline,ResNet50,motion_blur_3,2024-04-12 00:51:50.447100,0.6320667156804851
Baseline,ResNet50,pixelate_3,2024-04-12 00:51:52.785256,0.9423810978972584
Baseline,ResNet50,saturate_3,2024-04-12 00:51:55.131302,0.9610744328167368
Baseline,ResNet50,shot_noise_3,2024-04-12 00:51:57.492065,0.8814567517654363
Baseline,ResNet50,snow_3,2024-04-12 00:51:59.836957,0.8177956459106219
Baseline,ResNet50,spatter_3,2024-04-12 00:52:02.174690,0.7974449191395351
Baseline,ResNet50,speckle_noise_3,2024-04-12 00:52:04.510913,0.908933452828327
Baseline,ResNet50,zoom_blur_3,2024-04-12 00:52:06.860499,0.7415776931889809
Baseline,ResNet50,brightness_3,2024-04-12 01:02:44.816314,0.9125632656868948
Baseline,ResNet50,contrast_3,2024-04-12 01:02:48.104000,0.5874923304607549
Baseline,ResNet50,defocus_blur_3,2024-04-12 01:02:50.450610,0.8818868605601207
Baseline,ResNet50,elastic_3,2024-04-12 01:02:52.804155,0.8033268047358557
Baseline,ResNet50,fog_3,2024-04-12 01:02:55.155645,0.7846088685644834
Baseline,ResNet50,frost_3,2024-04-12 01:02:57.503763,0.7442227703191254
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 01:02:59.852889,0.7924087876939521
Baseline,ResNet50,gaussian_blur_3,2024-04-12 01:03:02.193857,0.813238270498565
Baseline,ResNet50,gaussian_noise_3,2024-04-12 01:03:04.549522,0.7900130291890157
Baseline,ResNet50,impulse_noise_3,2024-04-12 01:03:06.889052,0.7222354449735738
Baseline,ResNet50,jpeg_compression_3,2024-04-12 01:03:09.240099,0.9192787219426618
Baseline,ResNet50,motion_blur_3,2024-04-12 01:03:11.581596,0.6860289688249921
Baseline,ResNet50,pixelate_3,2024-04-12 01:03:14.203847,0.9322147535224432
Baseline,ResNet50,saturate_3,2024-04-12 01:03:16.605695,0.9488992606484988
Baseline,ResNet50,shot_noise_3,2024-04-12 01:03:18.980036,0.8633818729939462
Baseline,ResNet50,snow_3,2024-04-12 01:03:21.341318,0.7944025704569879
Baseline,ResNet50,spatter_3,2024-04-12 01:03:23.696252,0.7719478766788679
Baseline,ResNet50,speckle_noise_3,2024-04-12 01:03:26.037039,0.8959170309558772
Baseline,ResNet50,zoom_blur_3,2024-04-12 01:03:28.384812,0.7894416499745313
Baseline,ResNet50,brightness_3,2024-04-12 01:15:31.082627,0.928703998451436
