,Approach,Corruption Type,Date,Fscore,Model
67,Baseline,jpeg compression,2024-04-09 01:23:04.617782,0.8876212619531263,Xception
68,Baseline,motion blur,2024-04-09 01:23:07.328749,0.7169344067434451,Xception
69,Baseline,pixelate,2024-04-09 01:23:10.037731,0.8807939051739326,Xception
70,Baseline,saturate,2024-04-09 01:23:12.742488,0.978803008077776,Xception
71,Baseline,shot noise,2024-04-09 01:23:15.451151,0.7370068299609104,Xception
72,Baseline,snow,2024-04-09 01:23:18.166568,0.8200285259447581,Xception
73,Baseline,spatter,2024-04-09 01:23:20.884234,0.8230381215745337,Xception
74,Baseline,speckle noise,2024-04-09 01:23:23.595998,0.7937690269012714,Xception
75,Baseline,zoom blur,2024-04-09 01:23:26.312594,0.7369726718783023,Xception
76,Baseline,brightness,2024-04-09 01:33:49.523851,0.9560974727503092,Xception
77,Baseline,contrast,2024-04-09 01:33:53.156260,0.7707016036322991,Xception
78,Baseline,defocus blur,2024-04-09 01:33:55.849972,0.8754780770248564,Xception
79,Baseline,elastic,2024-04-09 01:33:58.549545,0.8016736874788414,Xception
80,Baseline,fog,2024-04-09 01:34:01.239534,0.8817790304125858,Xception
81,Baseline,frost,2024-04-09 01:34:03.945691,0.7362217572020937,Xception
82,Baseline,frosted glass blur,2024-04-09 01:34:06.642995,0.6492283240912897,Xception
83,Baseline,gaussian blur,2024-04-09 01:34:09.334494,0.7523953722651942,Xception
84,Baseline,gaussian noise,2024-04-09 01:34:12.026033,0.6174262807377595,Xception
85,Baseline,impulse noise,2024-04-09 01:34:14.724463,0.699976253309548,Xception
86,Baseline,jpeg compression,2024-04-09 01:34:17.411956,0.890965001928682,Xception
87,Baseline,motion blur,2024-04-09 01:34:20.096053,0.6770696185947641,Xception
88,Baseline,pixelate,2024-04-09 01:34:22.800914,0.8926330053404874,Xception
89,Baseline,saturate,2024-04-09 01:34:25.491952,0.9738385316619886,Xception
90,Baseline,shot noise,2024-04-09 01:34:28.181411,0.6957074160791967,Xception
91,Baseline,snow,2024-04-09 01:34:30.879457,0.8075866318743039,Xception
92,Baseline,spatter,2024-04-09 01:34:33.573011,0.8252959302260807,Xception
93,Baseline,speckle noise,2024-04-09 01:34:36.254379,0.751376248717872,Xception
94,Baseline,zoom blur,2024-04-09 01:34:38.923411,0.7385931204782341,Xception
95,Salt&Pepper,brightness,2024-04-09 01:46:22.097110,0.7036565324452103,Xception
96,Salt&Pepper,contrast,2024-04-09 01:46:25.747215,0.3533788986166758,Xception
97,Salt&Pepper,defocus blur,2024-04-09 01:46:28.455107,0.726857327650175,Xception
98,Salt&Pepper,elastic,2024-04-09 01:46:31.160670,0.6745385860960463,Xception
99,Salt&Pepper,fog,2024-04-09 01:46:33.857438,0.5634888654227965,Xception
100,Salt&Pepper,frost,2024-04-09 01:46:36.670863,0.6054753783656903,Xception
101,Salt&Pepper,frosted glass blur,2024-04-09 01:46:39.364121,0.7035337443062769,Xception
102,Salt&Pepper,gaussian blur,2024-04-09 01:46:42.062838,0.7027560545919684,Xception
103,Salt&Pepper,gaussian noise,2024-04-09 01:46:44.775120,0.7368051947062833,Xception
104,Salt&Pepper,impulse noise,2024-04-09 01:46:47.479774,0.7316329129518037,Xception
105,Salt&Pepper,jpeg compression,2024-04-09 01:46:50.181883,0.7364434356791177,Xception
106,Salt&Pepper,motion blur,2024-04-09 01:46:52.897341,0.5971289759628372,Xception
107,Salt&Pepper,pixelate,2024-04-09 01:46:55.593469,0.7388097848530482,Xception
108,Salt&Pepper,saturate,2024-04-09 01:46:58.299005,0.7296587461163393,Xception
109,Salt&Pepper,shot noise,2024-04-09 01:47:00.996746,0.7395694847778493,Xception
110,Salt&Pepper,snow,2024-04-09 01:47:03.695886,0.6925024296394072,Xception
111,Salt&Pepper,spatter,2024-04-09 01:47:06.390838,0.6846584376619621,Xception
112,Salt&Pepper,speckle noise,2024-04-09 01:47:09.084722,0.7412246150086566,Xception
113,Salt&Pepper,zoom blur,2024-04-09 01:47:11.774451,0.697810703890791,Xception
114,Salt&Pepper,brightness,2024-04-09 01:56:52.700855,0.7660891215772277,Xception
115,Salt&Pepper,contrast,2024-04-09 01:56:56.328478,0.4798488349841691,Xception
116,Salt&Pepper,defocus blur,2024-04-09 01:56:59.025251,0.8006314793746266,Xception
