corruption_type,mean,lower,upper,percentile,category
brightness_1,0.10124635987639999,0.062469295872500004,0.1430784897975,16.842105263157894,Lowest
brightness_2,0.367951978739,0.21660491305,0.566779271625,43.15789473684211,Mid-Range
brightness_3,0.598954316901,0.41441243615000006,0.8271449987500002,64.21052631578948,Mid-Range
brightness_4,0.808543984471,0.633485631775,1.00327800855,75.78947368421053,Highest
brightness_5,1.2685521274329998,1.126454373325,1.4343062053250002,91.57894736842105,Highest
contrast_1,0.25888289117679997,0.116799836305,0.5032955367099999,34.73684210526316,Mid-Range
contrast_2,0.65751924745,0.42151344855000006,1.0532179363499998,67.36842105263158,Mid-Range
contrast_3,0.8463900505720001,0.6173659735000001,1.2090490471000002,78.94736842105263,Highest
contrast_4,1.084947297345,0.8565068790000001,1.4707708961250003,86.31578947368422,Highest
contrast_5,1.66791196695,1.4398424300000001,2.055974679,98.94736842105263,Highest
defocus_blur_1,0.00365555672808,0.00316397809,0.00411243549625,2.1052631578947367,Lowest
defocus_blur_2,0.0225322735261,0.019143408197500003,0.025767748007499994,3.1578947368421053,Lowest
defocus_blur_3,0.0561176275945,0.0453561328075,0.06578209559749998,6.315789473684211,Lowest
defocus_blur_4,0.09861232214490001,0.07996201923000001,0.11590736082499999,15.789473684210526,Lowest
defocus_blur_5,0.26485505237999996,0.20637354665000002,0.31721234597500003,35.78947368421053,Mid-Range
elastic_1,1.502141523774,1.2680728021499998,1.7103012605,97.89473684210527,Highest
elastic_2,1.3287295027060002,1.1188943692499997,1.52930860475,93.6842105263158,Highest
elastic_3,1.121012549481,0.9380192379500001,1.28155739565,87.36842105263159,Highest
elastic_4,1.001125347449,0.8227149181000001,1.1570873416749998,81.05263157894737,Highest
elastic_5,0.7422254740840001,0.6026980991000002,0.8624314142999998,74.73684210526315,Mid-Range
fog_1,0.49736084000200004,0.22011068784,0.9427477697850001,53.68421052631579,Mid-Range
fog_2,0.835842664364,0.47462715447500003,1.321342731875,77.89473684210526,Highest
fog_3,1.0840966777210002,0.7353424742500001,1.5877451971249998,85.26315789473684,Highest
fog_4,1.3394204317840002,0.9906364570000001,1.8391615507249999,94.73684210526315,Highest
fog_5,1.8048229511899998,1.46598393575,2.3157253397499997,100.0,Highest
frost_1,0.657897897993,0.4807211331250001,0.8737176413,68.42105263157895,Mid-Range
frost_2,1.0622204987150001,0.88317485925,1.2478127190500001,83.15789473684211,Highest
