corruption_type,mean,lower,upper,percentile,category,cat_avg_mean,cat_avg_lower,cat_avg_upper
brightness_1,0.01521740655365158,0.01223374909771758,0.0192833444892809,26.31578947368421,Lowest,0.009002603305833403,0.0069356026279817256,0.010894798141925021
brightness_2,0.03181340009549396,0.02561109575115821,0.04050578451605223,58.94736842105262,Mid-Range,0.02792886807213149,0.026109390190533807,0.02967876274575899
brightness_3,0.04929320147282635,0.03974989369195552,0.06231985748961457,78.94736842105263,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
brightness_4,0.06630459806343421,0.0538302597514241,0.082253910079877,85.26315789473684,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
brightness_5,0.09935655898985875,0.08175601822533206,0.12410078835444921,98.94736842105263,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
contrast_1,0.03923370447644798,0.03206180886957649,0.04611293536304199,69.47368421052632,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
contrast_2,0.06904012963399485,0.05573164422594189,0.08137863362814192,88.42105263157895,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
contrast_3,0.07874450354087686,0.06400162079928767,0.09259474873078648,93.6842105263158,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
contrast_4,0.08773412878562954,0.07132337413233168,0.10281394872057939,95.78947368421052,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
contrast_5,0.09757979324557829,0.07795754415526156,0.11559547531225392,97.89473684210527,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
defocus_blur_1,0.007400810107020967,0.0059094211876633135,0.008860983657218019,16.842105263157894,Lowest,0.009002603305833403,0.0069356026279817256,0.010894798141925021
defocus_blur_2,0.01784332089400775,0.014018344431332987,0.021862678393161753,30.526315789473685,Lowest,0.009002603305833403,0.0069356026279817256,0.010894798141925021
defocus_blur_3,0.02566586744080933,0.020142946582364506,0.03133781394326617,43.15789473684211,Mid-Range,0.02792886807213149,0.026109390190533807,0.02967876274575899
defocus_blur_4,0.030912217697035678,0.024006049827653822,0.037556067096715925,54.736842105263165,Mid-Range,0.02792886807213149,0.026109390190533807,0.02967876274575899
defocus_blur_5,0.039315104882331864,0.029930816832575098,0.04767305085470395,71.57894736842105,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
elastic_1,0.01525629067839224,0.012014715173704504,0.01827944274309682,27.368421052631582,Lowest,0.009002603305833403,0.0069356026279817256,0.010894798141925021
elastic_2,0.018374693952095705,0.01458581755184245,0.022493088250630573,32.631578947368425,Lowest,0.009002603305833403,0.0069356026279817256,0.010894798141925021
elastic_3,0.024033803867078957,0.01853901161367195,0.029122543916030787,40.0,Mid-Range,0.02792886807213149,0.026109390190533807,0.02967876274575899
elastic_4,0.024650436571893523,0.01927491052404884,0.030077202706325645,41.05263157894737,Mid-Range,0.02792886807213149,0.026109390190533807,0.02967876274575899
elastic_5,0.022123185509797423,0.01690659427748569,0.026652980715049665,36.84210526315789,Mid-Range,0.02792886807213149,0.026109390190533807,0.02967876274575899
fog_1,0.03530524453473829,0.029216071737348994,0.04128109627214923,63.1578947368421,Mid-Range,0.02792886807213149,0.026109390190533807,0.02967876274575899
fog_2,0.06048414284654417,0.04872431038167555,0.07071755938783579,82.10526315789474,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
fog_3,0.07200955789151607,0.05980141500565757,0.08467938864286136,90.52631578947368,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
fog_4,0.07801155163986385,0.06426683755391131,0.09072631704245156,92.63157894736842,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
fog_5,0.08443113132768414,0.06919775424422903,0.09837047860284526,94.73684210526315,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
frost_1,0.04267801816340189,0.03504277819044801,0.053044037540897954,74.73684210526315,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
frost_2,0.06660069258471739,0.055259724037191135,0.08096724762827692,86.31578947368422,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
frost_3,0.07140099109409426,0.05878156112551233,0.08661225736317799,89.47368421052632,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
frost_4,0.0621405390588599,0.05134499514231098,0.07396757817535936,83.15789473684211,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
frost_5,0.058357632295087565,0.049083261133032234,0.06788999770776098,81.05263157894737,Highest,0.06226410440943336,0.055560319037348274,0.06942390722105425
frosted_glass_blur_1,0.008461454027814617,0.006240836813935907,0.010632507767202098,18.947368421052634,Lowest,0.009002603305833403,0.0069356026279817256,0.010894798141925021
