corruption_type,mean,lower,upper,percentile,category
brightness_1,0.10068707930489999,0.06345712040500001,0.141488749685,16.842105263157894,Lowest
brightness_2,0.36848909962899995,0.21524242735000002,0.55237835025,43.15789473684211,Mid-Range
brightness_3,0.595765109782,0.4134193943750001,0.8001343003999999,64.21052631578948,Mid-Range
brightness_4,0.8055259008729999,0.640710073225,0.99339355265,75.78947368421053,Highest
brightness_5,1.2755616489590003,1.133143015425,1.4323818679999996,91.57894736842105,Highest
contrast_1,0.258157587357,0.117666834805,0.4944789292649999,34.73684210526316,Mid-Range
contrast_2,0.662808173796,0.42978442299999997,1.0291918358499996,68.42105263157895,Highest
contrast_3,0.8504689964679999,0.6147731686500001,1.2260263567999996,78.94736842105263,Highest
contrast_4,1.094505197255,0.8654984688750001,1.4736236815000001,86.31578947368422,Highest
contrast_5,1.67055727673,1.4396631827499997,2.05497413725,98.94736842105263,Highest
defocus_blur_1,0.0036565510872199995,0.0031737529340000008,0.0040832242005,2.1052631578947367,Lowest
defocus_blur_2,0.022543402980899997,0.018761767080000005,0.025775342209999996,3.1578947368421053,Lowest
defocus_blur_3,0.055970142525999994,0.045638023472500004,0.06485240129750001,6.315789473684211,Lowest
defocus_blur_4,0.0983770920388,0.0799685477075,0.115365138715,15.789473684210526,Lowest
defocus_blur_5,0.264967757731,0.20521598550000003,0.31824220765,35.78947368421053,Mid-Range
elastic_1,1.49396747384,1.2613037966,1.6967949499999997,97.89473684210527,Highest
elastic_2,1.3255904925280002,1.1147278225000001,1.51606238365,93.6842105263158,Highest
elastic_3,1.127870488564,0.942463920275,1.2960514089000001,87.36842105263159,Highest
elastic_4,0.9967305458819999,0.8154373140249999,1.158484599575,81.05263157894737,Highest
elastic_5,0.7368678437819999,0.5961658281500001,0.8690452219500001,73.68421052631578,Highest
fog_1,0.4849368513908,0.19865759386500004,0.9051612569649999,52.63157894736842,Mid-Range
fog_2,0.837365220343,0.4744046762500001,1.3392594142749996,76.84210526315789,Highest
fog_3,1.0867589572060001,0.7398958580999999,1.5828793173249998,85.26315789473684,Highest
fog_4,1.343279293107,0.9944301996500001,1.839169558675,94.73684210526315,Highest
fog_5,1.80291493296,1.4674311759999998,2.3156399585000003,100.0,Highest
frost_1,0.6598844063410001,0.48475993589999994,0.8658043892,66.3157894736842,Highest
frost_2,1.055407611729,0.878271520025,1.23182268475,83.15789473684211,Highest
frost_3,1.2874357782119998,1.1249141704999999,1.4689521280750002,92.63157894736842,Highest
frost_4,1.199727844859,1.032738473775,1.3913929373999998,90.52631578947368,Highest
frost_5,1.3594477765500002,1.1403942580000002,1.6376931700000001,95.78947368421052,Highest
frosted_glass_blur_1,0.556023241317,0.45308769532500004,0.6539442826499999,61.05263157894737,Mid-Range
frosted_glass_blur_2,0.5529408462169999,0.43280289397500005,0.648992298875,60.0,Mid-Range
frosted_glass_blur_3,0.5282684998439999,0.42860868695,0.6157667356750001,54.736842105263165,Mid-Range
frosted_glass_blur_4,1.181980844335,0.9885803603750001,1.3685899873749998,89.47368421052632,Highest
frosted_glass_blur_5,1.1408251250839998,0.952716540475,1.3259683005999998,88.42105263157895,Highest
gaussian_blur_1,0.00350193971728,0.0030160413577500003,0.003967653255,1.0526315789473684,Lowest
gaussian_blur_2,0.0537245911175,0.0447106227975,0.06262851423749999,4.2105263157894735,Lowest
gaussian_blur_3,0.0944118549864,0.0771525672175,0.10932349260499999,12.631578947368421,Lowest
gaussian_blur_4,0.140783445214,0.11593535365000002,0.1635874983,22.105263157894736,Lowest
gaussian_blur_5,0.247567827113,0.205667086475,0.28720108497499997,31.57894736842105,Lowest
gaussian_noise_1,0.0887399172176,0.0639381549325,0.11323624632999998,11.578947368421053,Lowest
gaussian_noise_2,0.19000273933650003,0.13234712928749998,0.25099307933750004,28.421052631578945,Lowest
gaussian_noise_3,0.33111358435,0.22493365777500002,0.451595262525,41.05263157894737,Mid-Range
gaussian_noise_4,0.409763660641,0.278687789,0.5932744895,48.421052631578945,Mid-Range
