Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,elastic_3,2024-04-14 03:10:13.622222,775.3014471530914,0.5967637827220122
Baseline,ResNet50,fog_3,2024-04-14 03:10:15.952994,775.3014471530914,0.5038858174618135
Baseline,ResNet50,frost_3,2024-04-14 03:10:18.300519,775.3014471530914,0.4794718222858841
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 03:10:20.655735,775.3014471530914,0.6284698957028045
Baseline,ResNet50,gaussian_blur_3,2024-04-14 03:10:23.002776,775.3014471530914,0.5881945621939262
Baseline,ResNet50,gaussian_noise_3,2024-04-14 03:10:25.347172,775.3014471530914,0.661776459361237
Baseline,ResNet50,impulse_noise_3,2024-04-14 03:10:27.691531,775.3014471530914,0.6154229754649334
Baseline,ResNet50,jpeg_compression_3,2024-04-14 03:10:30.019170,775.3014471530914,0.7600429413078189
Baseline,ResNet50,motion_blur_3,2024-04-14 03:10:32.370573,775.3014471530914,0.4837801224977947
Baseline,ResNet50,pixelate_3,2024-04-14 03:10:34.713850,775.3014471530914,0.7738936216513839
Baseline,ResNet50,saturate_3,2024-04-14 03:10:37.042835,775.3014471530914,0.8185951985483412
Baseline,ResNet50,shot_noise_3,2024-04-14 03:10:39.387358,775.3014471530914,0.7133254533316755
Baseline,ResNet50,snow_3,2024-04-14 03:10:41.740477,775.3014471530914,0.6221677337050735
Baseline,ResNet50,spatter_3,2024-04-14 03:10:44.068722,775.3014471530914,0.6386168160492963
Baseline,ResNet50,speckle_noise_3,2024-04-14 03:10:46.422317,775.3014471530914,0.7369191670487545
Baseline,ResNet50,zoom_blur_3,2024-04-14 03:10:48.768753,775.3014471530914,0.5659929712060758
Baseline,ResNet50,brightness_3,2024-04-14 03:21:05.398103,611.1134777069092,0.6623874186875119
Baseline,ResNet50,contrast_3,2024-04-14 03:21:07.758316,611.1134777069092,0.3836162824961934
Baseline,ResNet50,defocus_blur_3,2024-04-14 03:21:10.113490,611.1134777069092,0.677740872112178
Baseline,ResNet50,elastic_3,2024-04-14 03:21:12.473435,611.1134777069092,0.6179457441352305
Baseline,ResNet50,fog_3,2024-04-14 03:21:14.827841,611.1134777069092,0.5453569812707902
Baseline,ResNet50,frost_3,2024-04-14 03:21:17.189000,611.1134777069092,0.4805529232816029
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 03:21:19.541352,611.1134777069092,0.5796126471310009
Baseline,ResNet50,gaussian_blur_3,2024-04-14 03:21:21.894494,611.1134777069092,0.6244786216204761
Baseline,ResNet50,gaussian_noise_3,2024-04-14 03:21:24.278486,611.1134777069092,0.4944708913037104
Baseline,ResNet50,impulse_noise_3,2024-04-14 03:21:26.669156,611.1134777069092,0.468504808613562
Baseline,ResNet50,jpeg_compression_3,2024-04-14 03:21:29.022222,611.1134777069092,0.6985488280070172
Baseline,ResNet50,motion_blur_3,2024-04-14 03:21:31.381843,611.1134777069092,0.5470673387215814
Baseline,ResNet50,pixelate_3,2024-04-14 03:21:33.750540,611.1134777069092,0.7310794120418012
Baseline,ResNet50,saturate_3,2024-04-14 03:21:36.090840,611.1134777069092,0.7248331926479487
Baseline,ResNet50,shot_noise_3,2024-04-14 03:21:38.453761,611.1134777069092,0.566768563533852
Baseline,ResNet50,snow_3,2024-04-14 03:21:40.815186,611.1134777069092,0.5489631770654925
Baseline,ResNet50,spatter_3,2024-04-14 03:21:43.146999,611.1134777069092,0.5518315871158339
Baseline,ResNet50,speckle_noise_3,2024-04-14 03:21:45.502312,611.1134777069092,0.6116899532135436
Baseline,ResNet50,zoom_blur_3,2024-04-14 03:21:47.861505,611.1134777069092,0.5935150093241255
Baseline,ResNet50,brightness_3,2024-04-14 03:35:33.462776,821.0889084339142,0.7559244922469542
Baseline,ResNet50,contrast_3,2024-04-14 03:35:36.716710,821.0889084339142,0.3376595702138463
Baseline,ResNet50,defocus_blur_3,2024-04-14 03:35:39.054932,821.0889084339142,0.7751304394615964
Baseline,ResNet50,elastic_3,2024-04-14 03:35:41.392185,821.0889084339142,0.6970555395306774
