Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,brightness_3,2024-04-16 20:23:14.414411,965.815885066986,0.6723560211743533
Baseline,ResNet50,contrast_3,2024-04-16 20:23:16.748522,965.815885066986,0.3503853012011318
Baseline,ResNet50,defocus_blur_3,2024-04-16 20:23:19.083299,965.815885066986,0.6440406946035386
Baseline,ResNet50,elastic_3,2024-04-16 20:23:21.411205,965.815885066986,0.6152158970795432
Baseline,ResNet50,fog_3,2024-04-16 20:23:23.727801,965.815885066986,0.5426456445975884
Baseline,ResNet50,frost_3,2024-04-16 20:23:26.049897,965.815885066986,0.4821389810656177
Baseline,ResNet50,frosted_glass_blur_3,2024-04-16 20:23:28.366528,965.815885066986,0.6292926332672482
Baseline,ResNet50,gaussian_blur_3,2024-04-16 20:23:30.692367,965.815885066986,0.5967470065259872
Baseline,ResNet50,gaussian_noise_3,2024-04-16 20:23:33.008920,965.815885066986,0.6429237802211334
Baseline,ResNet50,impulse_noise_3,2024-04-16 20:23:35.337681,965.815885066986,0.6115792581346835
Baseline,ResNet50,jpeg_compression_3,2024-04-16 20:23:37.659221,965.815885066986,0.6910539919098826
Baseline,ResNet50,motion_blur_3,2024-04-16 20:23:39.984102,965.815885066986,0.4883231084131575
Baseline,ResNet50,pixelate_3,2024-04-16 20:23:42.299026,965.815885066986,0.6955756641311748
Baseline,ResNet50,saturate_3,2024-04-16 20:23:44.618813,965.815885066986,0.706624804704078
Baseline,ResNet50,shot_noise_3,2024-04-16 20:23:46.948384,965.815885066986,0.6672823355348305
Baseline,ResNet50,snow_3,2024-04-16 20:23:49.276353,965.815885066986,0.6212804394063003
Baseline,ResNet50,spatter_3,2024-04-16 20:23:51.609536,965.815885066986,0.6196879163837451
Baseline,ResNet50,speckle_noise_3,2024-04-16 20:23:53.935946,965.815885066986,0.6754021251726139
Baseline,ResNet50,zoom_blur_3,2024-04-16 20:23:56.264900,965.815885066986,0.5730929066507359
