,fold,corruption_type,kl_divergences
156,1,pixelate_2,0.024949854
157,1,pixelate_3,0.02647848
158,1,pixelate_4,0.0454361
159,1,pixelate_5,0.05270672
160,1,saturate_1,0.24530734
161,1,saturate_2,0.39331055
162,1,saturate_3,0.09754456
163,1,saturate_4,0.40000087
164,1,saturate_5,0.7104562
165,1,shot_noise_1,0.012216629
166,1,shot_noise_2,0.023104046
167,1,shot_noise_3,0.05349864
168,1,shot_noise_4,0.06881545
169,1,shot_noise_5,0.09826328
170,1,snow_1,0.21251848
171,1,snow_2,0.70587146
172,1,snow_3,0.92424405
173,1,snow_4,1.2465609
174,1,snow_5,1.56822
175,1,spatter_1,0.039259784
176,1,spatter_2,0.1448334
177,1,spatter_3,0.42886606
178,1,spatter_4,0.13449138
179,1,spatter_5,0.20857182
180,1,speckle_noise_1,0.012321726
181,1,speckle_noise_2,0.031074671
182,1,speckle_noise_3,0.043197203
183,1,speckle_noise_4,0.07146477
184,1,speckle_noise_5,0.10509835
185,1,zoom_blur_1,0.14344399
186,1,zoom_blur_2,0.1905978
187,1,zoom_blur_3,0.26690453
188,1,zoom_blur_4,0.35132658
189,1,zoom_blur_5,0.43813303
190,2,brightness_1,0.04499072
191,2,brightness_2,0.16468869
192,2,brightness_3,0.33622742
193,2,brightness_4,0.5429445
194,2,brightness_5,1.0053855
195,2,contrast_1,0.11197716
196,2,contrast_2,0.38803184
197,2,contrast_3,0.5765167
198,2,contrast_4,0.84773415
199,2,contrast_5,1.5290043
200,2,defocus_blur_1,0.003744869
201,2,defocus_blur_2,0.024523515
202,2,defocus_blur_3,0.06133165
203,2,defocus_blur_4,0.10557471
204,2,defocus_blur_5,0.28861
205,2,elastic_1,1.7505985
206,2,elastic_2,1.5476328
207,2,elastic_3,1.3117447
208,2,elastic_4,1.1597073
209,2,elastic_5,0.85139
210,2,fog_1,0.120642856
211,2,fog_2,0.38181737
212,2,fog_3,0.64305496
213,2,fog_4,0.9351206
214,2,fog_5,1.4652532
215,2,frost_1,0.3710578
216,2,frost_2,0.73415935
217,2,frost_3,0.9761946
218,2,frost_4,0.90326834
219,2,frost_5,1.0102646
220,2,frosted_glass_blur_1,0.63308644
221,2,frosted_glass_blur_2,0.6284022
222,2,frosted_glass_blur_3,0.60354817
223,2,frosted_glass_blur_4,1.3864646
224,2,frosted_glass_blur_5,1.3289254
225,2,gaussian_blur_1,0.0035000802
226,2,gaussian_blur_2,0.058374625
227,2,gaussian_blur_3,0.10308238
228,2,gaussian_blur_4,0.15425971
229,2,gaussian_blur_5,0.2743796
230,2,gaussian_noise_1,0.08338712
231,2,gaussian_noise_2,0.16975093
232,2,gaussian_noise_3,0.2705775
233,2,gaussian_noise_4,0.3235701
234,2,gaussian_noise_5,0.379095
235,2,impulse_noise_1,0.14854771
236,2,impulse_noise_2,0.27611834
237,2,impulse_noise_3,0.3846936
238,2,impulse_noise_4,0.5731841
239,2,impulse_noise_5,0.73314637
240,2,jpeg_compression_1,0.062923506
241,2,jpeg_compression_2,0.10992751
242,2,jpeg_compression_3,0.1303315
243,2,jpeg_compression_4,0.15468195
244,2,jpeg_compression_5,0.19103535
245,2,motion_blur_1,0.2054596
246,2,motion_blur_2,0.42565215
247,2,motion_blur_3,0.61838573
248,2,motion_blur_4,0.61673874
249,2,motion_blur_5,0.7800381
250,2,pixelate_1,0.057600837
251,2,pixelate_2,0.10310904
252,2,pixelate_3,0.11409039
253,2,pixelate_4,0.1822535
254,2,pixelate_5,0.2675175
255,2,saturate_1,0.30322453
256,2,saturate_2,0.51218206
257,2,saturate_3,0.08773698
258,2,saturate_4,0.44461915
259,2,saturate_5,0.8060667
260,2,shot_noise_1,0.05616347
261,2,shot_noise_2,0.10443044
262,2,shot_noise_3,0.22127014
263,2,shot_noise_4,0.2747472
264,2,shot_noise_5,0.36650527
265,2,snow_1,0.14968893
266,2,snow_2,0.39248827
267,2,snow_3,0.5355494
268,2,snow_4,0.7683639
269,2,snow_5,1.0816795
270,2,spatter_1,0.09331365
271,2,spatter_2,0.24471688
272,2,spatter_3,0.45103565
273,2,spatter_4,0.3915095
274,2,spatter_5,0.61645645
275,2,speckle_noise_1,0.06431493
276,2,speckle_noise_2,0.1532253
277,2,speckle_noise_3,0.20063998
278,2,speckle_noise_4,0.30254954
279,2,speckle_noise_5,0.41098192
280,2,zoom_blur_1,0.32961828
281,2,zoom_blur_2,0.4516836
282,2,zoom_blur_3,0.6212376
283,2,zoom_blur_4,0.8072649
284,2,zoom_blur_5,0.9737796
285,3,brightness_1,0.14981046
286,3,brightness_2,0.3860407
287,3,brightness_3,0.66859066
288,3,brightness_4,0.9736108
289,3,brightness_5,1.6017966
290,3,contrast_1,1.2707158
291,3,contrast_2,2.1969187
292,3,contrast_3,2.4235318
293,3,contrast_4,2.681258
294,3,contrast_5,3.292095
295,3,defocus_blur_1,0.004176422
296,3,defocus_blur_2,0.02471327
297,3,defocus_blur_3,0.06303396
298,3,defocus_blur_4,0.11323842
299,3,defocus_blur_5,0.31372753
300,3,elastic_1,1.5791005
301,3,elastic_2,1.4041427
302,3,elastic_3,1.1969727
303,3,elastic_4,1.0632308
304,3,elastic_5,0.7951204
305,3,fog_1,2.214637
306,3,fog_2,2.844367
307,3,fog_3,3.1184044
308,3,fog_4,3.4049342
309,3,fog_5,3.9272375
310,3,frost_1,0.87388694
311,3,frost_2,1.5352879
312,3,frost_3,1.7092664
313,3,frost_4,1.5343513
314,3,frost_5,2.226365
315,3,frosted_glass_blur_1,0.6135391
316,3,frosted_glass_blur_2,0.60796577
317,3,frosted_glass_blur_3,0.5812117
318,3,frosted_glass_blur_4,1.2378461
319,3,frosted_glass_blur_5,1.1934751
320,3,gaussian_blur_1,0.004257111
321,3,gaussian_blur_2,0.06038092
322,3,gaussian_blur_3,0.10650579
323,3,gaussian_blur_4,0.15821005
324,3,gaussian_blur_5,0.2733702
325,3,gaussian_noise_1,0.16370943
326,3,gaussian_noise_2,0.3915677
327,3,gaussian_noise_3,0.7871952
328,3,gaussian_noise_4,1.0567681
329,3,gaussian_noise_5,1.3388596
330,3,impulse_noise_1,0.19410634
331,3,impulse_noise_2,0.49445835
332,3,impulse_noise_3,0.7566799
333,3,impulse_noise_4,1.5708901
334,3,impulse_noise_5,2.371673
335,3,jpeg_compression_1,0.083119325
336,3,jpeg_compression_2,0.14144492
337,3,jpeg_compression_3,0.16638142
338,3,jpeg_compression_4,0.19510323
339,3,jpeg_compression_5,0.23513654
340,3,motion_blur_1,0.19066252
341,3,motion_blur_2,0.39366016
342,3,motion_blur_3,0.5743958
343,3,motion_blur_4,0.5728924
344,3,motion_blur_5,0.7268353
345,3,pixelate_1,0.07266134
346,3,pixelate_2,0.13258842
347,3,pixelate_3,0.1355121
348,3,pixelate_4,0.19791293
349,3,pixelate_5,0.3404874
350,3,saturate_1,0.3357303
351,3,saturate_2,0.58509314
352,3,saturate_3,0.11801204
353,3,saturate_4,2.1762679
354,3,saturate_5,3.18411
355,3,shot_noise_1,0.15078244
356,3,shot_noise_2,0.35046586
357,3,shot_noise_3,1.1148223
358,3,shot_noise_4,1.5470158
359,3,shot_noise_5,2.292568
360,3,snow_1,0.3083249
361,3,snow_2,0.78533596
362,3,snow_3,0.8980176
363,3,snow_4,1.367096
364,3,snow_5,1.994231
365,3,spatter_1,0.0944326
366,3,spatter_2,0.23651986
367,3,spatter_3,0.4227015
368,3,spatter_4,1.1441711
369,3,spatter_5,1.9725382
370,3,speckle_noise_1,0.2656975
371,3,speckle_noise_2,1.0529152
372,3,speckle_noise_3,1.6014556
373,3,speckle_noise_4,2.6188214
374,3,speckle_noise_5,2.9454498
375,3,zoom_blur_1,0.29149252
376,3,zoom_blur_2,0.4082905
377,3,zoom_blur_3,0.5620689
378,3,zoom_blur_4,0.7378019
379,3,zoom_blur_5,0.89991635
380,4,brightness_1,0.04296226
381,4,brightness_2,0.15863158
382,4,brightness_3,0.32605124
383,4,brightness_4,0.52958655
384,4,brightness_5,0.99229217
385,4,contrast_1,0.09970918
386,4,contrast_2,0.376665
387,4,contrast_3,0.5614916
388,4,contrast_4,0.814118
389,4,contrast_5,1.4093641
390,4,defocus_blur_1,0.004021739
391,4,defocus_blur_2,0.026829196
392,4,defocus_blur_3,0.06832695
393,4,defocus_blur_4,0.12226229
394,4,defocus_blur_5,0.32783303
395,4,elastic_1,1.6056674
396,4,elastic_2,1.4271421
397,4,elastic_3,1.2216527
398,4,elastic_4,1.0869634
399,4,elastic_5,0.8143342
400,4,fog_1,0.100278184
401,4,fog_2,0.3520411
402,4,fog_3,0.5976639
403,4,fog_4,0.86579895
404,4,fog_5,1.3495085
405,4,frost_1,0.37647706
406,4,frost_2,0.74366385
407,4,frost_3,0.9948223
408,4,frost_4,0.92517173
409,4,frost_5,1.0242989
410,4,frosted_glass_blur_1,0.62271434
411,4,frosted_glass_blur_2,0.6170989
412,4,frosted_glass_blur_3,0.5939736
413,4,frosted_glass_blur_4,1.2709721
414,4,frosted_glass_blur_5,1.2253363
415,4,gaussian_blur_1,0.0037924133
416,4,gaussian_blur_2,0.065493844
417,4,gaussian_blur_3,0.11589738
418,4,gaussian_blur_4,0.17232184
419,4,gaussian_blur_5,0.29708168
420,4,gaussian_noise_1,0.09645928
421,4,gaussian_noise_2,0.18928286
422,4,gaussian_noise_3,0.2949366
423,4,gaussian_noise_4,0.34949487
424,4,gaussian_noise_5,0.4044356
425,4,impulse_noise_1,0.15698794
426,4,impulse_noise_2,0.28339395
427,4,impulse_noise_3,0.39042726
428,4,impulse_noise_4,0.56771237
429,4,impulse_noise_5,0.713026
430,4,jpeg_compression_1,0.08987194
431,4,jpeg_compression_2,0.14841893
