strategy,model,evaluation_set,date_finished,training_time,fold,f1-score(weighted avg),accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),support(weighted avg)
Salt&Pepper,LSTM,In-Distribution,2024-12-13 18:05:50.269972,5363.881393909454,1,0.9100993925917724,0.9103947368421051,0.2643168866634369,0.9110651499482936,0.9273684210526316,0.9191444966092852,1900.0,0.958982346832814,0.9721052631578948,0.9654992158912704,1900.0,0.8989955357142857,0.8478947368421053,0.8726977248104009,1900.0,0.87217659137577,0.8942105263157895,0.8830561330561331,1900.0,0.9103049059677908,0.9103947368421051,0.9100993925917724,7600.0,0.910304905967791,0.9103947368421051,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-13 19:30:59.457730,5097.168332099915,2,0.9104706687644653,0.910657894736842,0.2745620012283325,0.9394780677401444,0.8905263157894737,0.9143474736557688,1900.0,0.9481970543423056,0.9826315789473684,0.9651072628586198,1900.0,0.8817891373801917,0.871578947368421,0.8766543144520911,1900.0,0.8739754098360656,0.8978947368421053,0.8857736240913813,1900.0,0.9108599173246767,0.9106578947368422,0.9104706687644653,7600.0,0.9108599173246767,0.910657894736842,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-13 21:03:38.608560,5547.177280902863,3,0.9086811831008222,0.9089473684210526,0.2662483155727386,0.9050337311883756,0.9178947368421052,0.9114188659524431,1900.0,0.95997920997921,0.9721052631578948,0.9660041841004184,1900.0,0.9017957351290684,0.8457894736842105,0.872895165670831,1900.0,0.8693441789527199,0.9,0.8844065166795965,1900.0,0.9090382138123436,0.9089473684210526,0.908681183100822,7600.0,0.9090382138123434,0.9089473684210526,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-13 23:12:46.344879,7735.695587158203,4,0.9141658920783244,0.9142105263157896,0.2670076787471771,0.9175039661554732,0.913157894736842,0.915325771564231,1900.0,0.9659863945578232,0.9715789473684212,0.968774599842561,1900.0,0.8858350951374208,0.8821052631578947,0.8839662447257385,1900.0,0.8871983210912907,0.89,0.8885969521807672,1900.0,0.914130944235502,0.9142105263157896,0.9141658920783244,7600.0,0.914130944235502,0.9142105263157896,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-14 00:17:19.783014,3862.2625908851614,5,0.1005468194200605,0.2502631578947368,1.3863673210144043,0.2500658067912608,1.0,0.4000842282585807,1900.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,1900.0,1.0,0.0010526315789473,0.0021030494216614,1900.0,0.3125164516978152,0.2502631578947368,0.1005468194200605,7600.0,0.3125164516978152,0.2502631578947368,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-14 01:50:10.597309,5560.179285049439,6,0.912034725580759,0.9119736842105264,0.2650400102138519,0.9372613202400436,0.9042105263157896,0.9204393249397268,1900.0,0.9599167100468506,0.9705263157894736,0.9651923580214604,1900.0,0.8867021276595745,0.8773684210526316,0.882010582010582,1900.0,0.8657171922685656,0.8957894736842106,0.8804966373512675,1900.0,0.9123993375537586,0.9119736842105264,0.9120347255807592,7600.0,0.9123993375537583,0.9119736842105264,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-14 03:19:47.517384,5366.049979925156,7,0.9107675072216124,0.9110526315789472,0.271009236574173,0.923529411764706,0.9089473684210526,0.9161803713527852,1900.0,0.9539406345957012,0.9810526315789474,0.9673066943435392,1900.0,0.9052159282108806,0.8494736842105263,0.8764594080912299,1900.0,0.8625188158554943,0.9047368421052632,0.8831235550988955,1900.0,0.9113011976066956,0.9110526315789472,0.9107675072216124,7600.0,0.9113011976066956,0.9110526315789472,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-14 04:53:40.610933,5621.271899938583,8,0.9141777002936998,0.9142105263157896,0.2715082168579101,0.9368825466520307,0.8984210526315789,0.9172487909725954,1900.0,0.9611197511664076,0.9757894736842104,0.968399059806738,1900.0,0.8890080428954423,0.8726315789473684,0.8807436918990703,1900.0,0.8714717741935484,0.91,0.8903192584963955,1900.0,0.9146205287268572,0.9142105263157896,0.9141777002936996,7600.0,0.9146205287268572,0.9142105263157896,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-14 06:22:54.693017,5343.463311910629,9,0.9105689434671308,0.9107894736842104,0.2717557847499847,0.9288025889967636,0.9063157894736842,0.9174214171550346,1900.0,0.9532614278376992,0.9768421052631578,0.9649077203015336,1900.0,0.9031354983202688,0.8489473684210527,0.8752034725990233,1900.0,0.8599105812220567,0.9110526315789472,0.8847431638129313,1900.0,0.911277524094197,0.9107894736842106,0.9105689434671308,7600.0,0.911277524094197,0.9107894736842104,7600.0
Salt&Pepper,LSTM,In-Distribution,2024-12-14 07:54:26.040818,5480.682364940643,10,0.9099015285717912,0.91,0.2723608016967773,0.9267635971997846,0.9057894736842104,0.9161565078520096,1900.0,0.958096223486808,0.9747368421052632,0.9663448995564832,1900.0,0.8944201312910285,0.8605263157894737,0.877145922746781,1900.0,0.8617558022199798,0.8989473684210526,0.8799587841318909,1900.0,0.9102589385494002,0.91,0.9099015285717912,7600.0,0.9102589385494004,0.91,7600.0
