Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,in-sample,2024-04-17 01:48:53.256693,702.07506108284,0.6784375464239559
Baseline,ResNet50,brightness_3,2024-04-17 01:48:56.344332,702.07506108284,0.6642695052622478
Baseline,ResNet50,contrast_3,2024-04-17 01:48:58.888266,702.07506108284,0.3555860864071513
Baseline,ResNet50,defocus_blur_3,2024-04-17 01:49:01.431694,702.07506108284,0.6293424665394638
Baseline,ResNet50,elastic_3,2024-04-17 01:49:04.004940,702.07506108284,0.6006939289035542
Baseline,ResNet50,fog_3,2024-04-17 01:49:06.580824,702.07506108284,0.5355014119212218
Baseline,ResNet50,frost_3,2024-04-17 01:49:09.104176,702.07506108284,0.5765569960096777
Baseline,ResNet50,frosted_glass_blur_3,2024-04-17 01:49:11.645382,702.07506108284,0.6085445933533238
Baseline,ResNet50,gaussian_blur_3,2024-04-17 01:49:14.224774,702.07506108284,0.5933933161240026
Baseline,ResNet50,gaussian_noise_3,2024-04-17 01:49:16.771369,702.07506108284,0.5978956716161453
Baseline,ResNet50,impulse_noise_3,2024-04-17 01:49:19.344192,702.07506108284,0.5658168146694036
Baseline,ResNet50,jpeg_compression_3,2024-04-17 01:49:21.910224,702.07506108284,0.6688846352302227
Baseline,ResNet50,motion_blur_3,2024-04-17 01:49:24.446359,702.07506108284,0.5132621779073121
Baseline,ResNet50,pixelate_3,2024-04-17 01:49:26.992231,702.07506108284,0.6708904382031825
Baseline,ResNet50,saturate_3,2024-04-17 01:49:29.557307,702.07506108284,0.6530474513682349
Baseline,ResNet50,shot_noise_3,2024-04-17 01:49:32.103914,702.07506108284,0.6357198078685451
Baseline,ResNet50,snow_3,2024-04-17 01:49:34.671160,702.07506108284,0.6012426303930527
Baseline,ResNet50,spatter_3,2024-04-17 01:49:37.252168,702.07506108284,0.5939301362135943
Baseline,ResNet50,speckle_noise_3,2024-04-17 01:49:39.788364,702.07506108284,0.6502081960236428
Baseline,ResNet50,zoom_blur_3,2024-04-17 01:49:42.349809,702.07506108284,0.5659951476066667
Baseline,ResNet50,in-sample,2024-04-17 02:07:18.411178,1051.1845138072968,0.7497582726886947
Baseline,ResNet50,brightness_3,2024-04-17 02:07:21.473290,1051.1845138072968,0.7168710604101836
Baseline,ResNet50,contrast_3,2024-04-17 02:07:23.975279,1051.1845138072968,0.4422319441630361
Baseline,ResNet50,defocus_blur_3,2024-04-17 02:07:26.490408,1051.1845138072968,0.6960060714082745
Baseline,ResNet50,elastic_3,2024-04-17 02:07:29.008426,1051.1845138072968,0.6663295580373332
